most_ads_day,users,conversions,conversion_rate,avg_ads,conversion_rate_pct
Monday,87073,2857,0.03281154893020798,25.328517450874553,3.281154893020798
Tuesday,77479,2312,0.029840343835103707,23.9254636740278,2.984034383510371
Wednesday,80908,2018,0.02494190932911455,24.539205022989073,2.494190932911455
Thursday,82982,1790,0.02157094309609313,23.42885204020149,2.1570943096093127
Friday,92608,2057,0.02221190393918452,26.61212854181064,2.221190393918452
Saturday,81660,1719,0.021050698016164583,25.227663482733284,2.1050698016164584
Sunday,85391,2090,0.024475647316461922,24.403660807345037,2.4475647316461924
