exposure_band,users,conversions,conversion_rate,avg_ads,conversion_rate_pct
1-10,260775,858,0.003290192694851884,4.2045479819768,0.3290192694851884
11-25,169247,1720,0.010162661671994186,17.20348366588477,1.0162661671994186
26-50,89013,3124,0.035095997213890104,35.48240144697966,3.5095997213890104
51-100,46002,5242,0.11395156732315986,69.38489630885614,11.395156732315986
100+,23064,3899,0.1690513354144988,183.7870274020118,16.905133541449878
