metric,value
treatment_conversion_rate,0.025546559636683747
control_conversion_rate,0.01785410644448223
absolute_uplift,0.007692453192201517
relative_uplift,0.43085064022225833
risk_ratio,1.4308506402222583
risk_ratio_ci_low,1.2996965810628216
risk_ratio_ci_high,1.5752396247362963
z_statistic,7.3700781265454145
z_p_value,1.7052807161559727e-13
chi_square,54.005823883685245
chi_square_p_value,1.9989623063390075e-13
chi_square_dof,1.0
ci_difference_low,0.0059509324316110055
ci_difference_high,0.009433973952792028
bootstrap_ci_low,0.005956504441920961
bootstrap_ci_high,0.009389434551924597
cohen_h,0.053002578606030915
observed_power,0.9999999990438161
required_equal_sample_80_power,5588.0
logistic_odds_ratio,1.4421459480519425
logistic_or_ci_low,1.3076406923586403
logistic_or_ci_high,1.5904865515704094
